phase,mean_x_mm,mean_y_mm,mean_error_mm,mean_time_s,sd_x_mm,sd_y_mm,sd_error_mm,sd_time_s,distance_time_r
Odometry,-1693.7,-3697.6,120.97579080649724,177.8,33.17981313991988,74.60443835471334,45.830097325067165,1.7511900715418263,0.467802554671323
Tracking,-2454.2,-498.1,354.20823434990996,121.3,158.86108536845782,0.5676462121975467,158.85432431675426,0.9486832980505138,0.5023493027899775
