sample,x_mm,y_mm,euclidean_error_mm,time_s
1,-2360.0,-498.0,260.0076921939041,122.0
2,-2677.0,-498.0,577.0034661940949,121.0
3,-2532.0,-499.0,432.001157405857,121.0
4,-2604.0,-498.0,504.0039682383463,123.0
5,-2240.0,-497.0,140.03213916812098,120.0
6,-2475.0,-498.0,375.0053332954079,121.0
7,-2337.0,-499.0,237.00210969525145,122.0
8,-2510.0,-498.0,410.0048780197621,121.0
9,-2214.0,-498.0,114.0175425099138,120.0
10,-2593.0,-498.0,493.0040567784407,122.0
